Time,T2
1600276963.061256,1540.424377
1600276963.061256,1540.425150
1600276963.061261,1540.425150
1600276963.061261,1540.425923
1600276963.061261,1540.425923
1600276963.061261,1540.425923
1600276963.061261,1540.425150
1600276963.061261,1540.422831
1600276963.061261,1540.425150
1600276963.061261,1540.423604
1600276963.061261,1540.423604
1600276963.061261,1540.424377
1600276963.061261,1540.424377
1600276963.061264,1540.424377
1600276963.061264,1540.424377
1600276963.061264,1540.422058
1600276963.061264,1540.424377
1600276963.061264,1540.422831
1600276963.061264,1540.424377
1600276963.061264,1540.424377
1600276963.061264,1540.424377
1600276963.061264,1540.425150
1600276963.061264,1540.424377
1600276963.061264,1540.425923
1600276963.062574,1540.425923
1600276963.062574,1540.425150
1600276963.062574,1540.425150
1600276963.062574,1540.425150
1600276963.062574,1540.424377
1600276963.062574,1540.425150
1600276963.062574,1540.423604
1600276963.062574,1540.424377
1600276963.062574,1540.425923
1600276963.062574,1540.423604
1600276963.062574,1540.423604
1600276963.062578,1540.424377
1600276963.062578,1540.424377
1600276963.062578,1540.423604
1600276963.062578,1540.420512
1600276963.062578,1540.425150
1600276963.062578,1540.422058
1600276963.062578,1540.423604
1600276963.062578,1540.426695
1600276963.062578,1540.426695
1600276963.062578,1540.423604
1600276963.062578,1540.425150
1600276963.062582,1540.424377
1600276963.062582,1540.422831
1600276963.062582,1540.423604
1600276963.062582,1540.422831
1600276963.062582,1540.424377
1600276963.062582,1540.425150
1600276963.062582,1540.425923
1600276963.062582,1540.424377
1600276963.062582,1540.425923
1600276963.062582,1540.427468
1600276963.062582,1540.425150
1600276963.063875,1540.425923
1600276963.063875,1540.425150
1600276963.063875,1540.424377
1600276963.063875,1540.423604
1600276963.063875,1540.422831
1600276963.063875,1540.425150
1600276963.063875,1540.425150
1600276963.063875,1540.425150
1600276963.063875,1540.426695
1600276963.063875,1540.424377
1600276963.063875,1540.422058
1600276963.063879,1540.423604
1600276963.063879,1540.423604
1600276963.063879,1540.423604
1600276963.063879,1540.426695
1600276963.063879,1540.427468
1600276963.063879,1540.424377
1600276963.063879,1540.422831
1600276963.063879,1540.425150
1600276963.063879,1540.423604
1600276963.063879,1540.425150
1600276963.063879,1540.422831
1600276963.063883,1540.424377
1600276963.063883,1540.426695
1600276963.063883,1540.424377
1600276963.063883,1540.422831
1600276963.063883,1540.423604
1600276963.063883,1540.422831
1600276963.063883,1540.423604
1600276963.063883,1540.424377
1600276963.063883,1540.424377
1600276963.063883,1540.424377
1600276963.063883,1540.425150
1600276963.065189,1540.423604
1600276963.065189,1540.425923
1600276963.065189,1540.425150
1600276963.065189,1540.424377
1600276963.065189,1540.426695
1600276963.065189,1540.425150
1600276963.065189,1540.422058
1600276963.065189,1540.423604
1600276963.065189,1540.424377
1600276963.065189,1540.423604
1600276963.065189,1540.422831
1600276963.065193,1540.423604
1600276963.065193,1540.425150
1600276963.065193,1540.426695
1600276963.065193,1540.425150
1600276963.065193,1540.423604
1600276963.065193,1540.425150
1600276963.065193,1540.422831
1600276963.065193,1540.424377
1600276963.065193,1540.426695
1600276963.065193,1540.423604
1600276963.065193,1540.425150
1600276963.065197,1540.421285
1600276963.065197,1540.425150
1600276963.065197,1540.422831
1600276963.065197,1540.423604
1600276963.065197,1540.422831
1600276963.065197,1540.424377
1600276963.065197,1540.422831
1600276963.065197,1540.425150
1600276963.065197,1540.425150
1600276963.065197,1540.422831
1600276963.065197,1540.426695
1600276963.066507,1540.422831
1600276963.066507,1540.424377
1600276963.066507,1540.425923
1600276963.066507,1540.425923
1600276963.066507,1540.426695
1600276963.066507,1540.423604
1600276963.066507,1540.425150
1600276963.066507,1540.423604
1600276963.066507,1540.423604
1600276963.066507,1540.425150
1600276963.066507,1540.423604
1600276963.066511,1540.424377
1600276963.066511,1540.424377
1600276963.066511,1540.422058
1600276963.066511,1540.423604
1600276963.066511,1540.425923
1600276963.066511,1540.425150
1600276963.066511,1540.426695
1600276963.066511,1540.425150
1600276963.066511,1540.423604
1600276963.066511,1540.426695
1600276963.066511,1540.422831
1600276963.066514,1540.423604
1600276963.066514,1540.425150
1600276963.066514,1540.425923
1600276963.066514,1540.425923
1600276963.066514,1540.425923
1600276963.066514,1540.423604
1600276963.066514,1540.425150
1600276963.066514,1540.422831
1600276963.066514,1540.425923
1600276963.066514,1540.422831
1600276963.066514,1540.423604
1600276963.067811,1540.423604
1600276963.067811,1540.422831
1600276963.067811,1540.425150
1600276963.067811,1540.422058
1600276963.067811,1540.423604
1600276963.067811,1540.425150
1600276963.067811,1540.424377
1600276963.067811,1540.423604
1600276963.067811,1540.426695
1600276963.067811,1540.425150
1600276963.067811,1540.423604
1600276963.067816,1540.426695
1600276963.067816,1540.425150
1600276963.067816,1540.425150
1600276963.067816,1540.423604
1600276963.067816,1540.425923
1600276963.067816,1540.425150
1600276963.067816,1540.423604
1600276963.067816,1540.424377
1600276963.067816,1540.425923
1600276963.067816,1540.426695
1600276963.067816,1540.425150
1600276963.067819,1540.425923
1600276963.067819,1540.425923
1600276963.067819,1540.425150
1600276963.067819,1540.423604
1600276963.067819,1540.426695
1600276963.067819,1540.422058
1600276963.067819,1540.425923
1600276963.067819,1540.423604
1600276963.067819,1540.423604
1600276963.067819,1540.423604
1600276963.067819,1540.423604
1600276963.069121,1540.426695
1600276963.069121,1540.424377
1600276963.069121,1540.425923
1600276963.069121,1540.421285
1600276963.069121,1540.422831
1600276963.069121,1540.421285
1600276963.069121,1540.423604
1600276963.069121,1540.424377
1600276963.069121,1540.424377
1600276963.069121,1540.424377
1600276963.069121,1540.423604
1600276963.069126,1540.423604
1600276963.069126,1540.423604
1600276963.069126,1540.425150
1600276963.069126,1540.422058
1600276963.069126,1540.423604
1600276963.069126,1540.427468
1600276963.069126,1540.424377
1600276963.069126,1540.425923
1600276963.069126,1540.423604
1600276963.069126,1540.422831
1600276963.069126,1540.425923
1600276963.069129,1540.423604
1600276963.069129,1540.424377
1600276963.069129,1540.425150
1600276963.069129,1540.427468
1600276963.069129,1540.424377
1600276963.069129,1540.425150
1600276963.069129,1540.425150
1600276963.069129,1540.425150
1600276963.069129,1540.425150
1600276963.069129,1540.424377
1600276963.069129,1540.424377
1600276963.070429,1540.423604
1600276963.070429,1540.424377
1600276963.070429,1540.423604
1600276963.070429,1540.424377
1600276963.070429,1540.423604
1600276963.070429,1540.426695
1600276963.070429,1540.425923
1600276963.070429,1540.425923
1600276963.070429,1540.425923
1600276963.070429,1540.422058
1600276963.070429,1540.425923
1600276963.070434,1540.425923
1600276963.070434,1540.425150
1600276963.070434,1540.425150
1600276963.070434,1540.422058
1600276963.070434,1540.425150
1600276963.070434,1540.422831
1600276963.070434,1540.428241
1600276963.070434,1540.425923
1600276963.070434,1540.424377
1600276963.070434,1540.425923
1600276963.070434,1540.423604
1600276963.070437,1540.423604
1600276963.070437,1540.425923
1600276963.070437,1540.425150
1600276963.070437,1540.424377
1600276963.070437,1540.422058
1600276963.070437,1540.423604
1600276963.070437,1540.425150
1600276963.070437,1540.425150
1600276963.070437,1540.425150
1600276963.070437,1540.424377
1600276963.070437,1540.426695
1600276963.071744,1540.425923
1600276963.071744,1540.422831
1600276963.071744,1540.421285
1600276963.071744,1540.427468
1600276963.071744,1540.423604
1600276963.071744,1540.427468
1600276963.071744,1540.423604
1600276963.071744,1540.421285
1600276963.071744,1540.424377
1600276963.071744,1540.424377
1600276963.071744,1540.425150
1600276963.071749,1540.426695
1600276963.071749,1540.422831
1600276963.071749,1540.423604
1600276963.071749,1540.427468
1600276963.071749,1540.422831
1600276963.071749,1540.425150
1600276963.071749,1540.424377
1600276963.071749,1540.422058
1600276963.071749,1540.425150
1600276963.071749,1540.424377
1600276963.071749,1540.423604
1600276963.071752,1540.422831
1600276963.071752,1540.426695
1600276963.071752,1540.427468
1600276963.071752,1540.425150
1600276963.071752,1540.424377
1600276963.071752,1540.426695
1600276963.071752,1540.422058
1600276963.071752,1540.422831
1600276963.071752,1540.424377
1600276963.071752,1540.424377
1600276963.071752,1540.425150
1600276963.073055,1540.423604
1600276963.073055,1540.423604
1600276963.073055,1540.424377
1600276963.073055,1540.425923
1600276963.073055,1540.422831
1600276963.073055,1540.425150
1600276963.073055,1540.424377
1600276963.073055,1540.423604
1600276963.073055,1540.425150
1600276963.073055,1540.425923
1600276963.073055,1540.425150
1600276963.073059,1540.427468
1600276963.073059,1540.422831
1600276963.073059,1540.424377
1600276963.073059,1540.425923
1600276963.073059,1540.425150
1600276963.073059,1540.425150
1600276963.073059,1540.423604
1600276963.073059,1540.425150
1600276963.073059,1540.426695
1600276963.073059,1540.425150
1600276963.073059,1540.425150
1600276963.073062,1540.425923
1600276963.073062,1540.427468
1600276963.073062,1540.422831
1600276963.073062,1540.423604
1600276963.073062,1540.425150
1600276963.073062,1540.425923
1600276963.073062,1540.425923
1600276963.073062,1540.425150
1600276963.073062,1540.424377
1600276963.073062,1540.426695
1600276963.073062,1540.425150
1600276963.074366,1540.422058
1600276963.074366,1540.425150
1600276963.074366,1540.425150
1600276963.074366,1540.425923
1600276963.074366,1540.422831
1600276963.074366,1540.425923
1600276963.074366,1540.424377
1600276963.074366,1540.424377
1600276963.074366,1540.425150
1600276963.074366,1540.425150
1600276963.074366,1540.425150
1600276963.074370,1540.426695
1600276963.074370,1540.423604
1600276963.074370,1540.424377
1600276963.074370,1540.424377
1600276963.074370,1540.423604
1600276963.074370,1540.427468
1600276963.074370,1540.424377
1600276963.074370,1540.426695
1600276963.074370,1540.423604
1600276963.074370,1540.423604
1600276963.074370,1540.422831
1600276963.074373,1540.425150
1600276963.074373,1540.425150
1600276963.074373,1540.425150
1600276963.074373,1540.424377
1600276963.074373,1540.425150
1600276963.074373,1540.425150
1600276963.074373,1540.422831
1600276963.074373,1540.425923
1600276963.074373,1540.424377
1600276963.074373,1540.425150
1600276963.074373,1540.423604
1600276963.075673,1540.423604
1600276963.075673,1540.424377
1600276963.075673,1540.425150
1600276963.075673,1540.425150
1600276963.075673,1540.424377
1600276963.075673,1540.423604
1600276963.075673,1540.426695
1600276963.075673,1540.425923
1600276963.075673,1540.424377
1600276963.075673,1540.426695
1600276963.075673,1540.425923
1600276963.075678,1540.424377
1600276963.075678,1540.424377
